Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2011,Reset,493,1,1,0,,493,,493,0,Hybrid,1,APR,493,2011,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2011,Reset,573,1,1,0,,573,,573,0,Fully Electric,1,APR,573,2011,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2012,Reset,1462,1,1,0,,1462,,1462,0,Hybrid,1,APR,1462,2012,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2012,Reset,1654,1,1,0,,1654,,1654,0,Hybrid,1,APR,1654,2012,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2012,Reset,370,1,1,0,,370,,370,0,Fully Electric,1,APR,370,2012,4
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,4/1/2012,Reset,79,1,1,0,,79,,79,0,Fully Electric,1,APR,79,2012,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2013,Reset,1306,1,1,0,,1306,,1306,0,Hybrid,1,APR,1306,2013,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2013,Reset,1937,1,1,0,,1937,,1937,0,Fully Electric,1,APR,1937,2013,4
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2013,Reset,2100,1,1,0,2100,,100,2100,0,Fully Electric,1,APR,2100,2013,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2013,Reset,599,1,1,0,,599,,599,0,Hybrid,1,APR,599,2013,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2013,Reset,411,1,1,0,,411,,411,0,Hybrid,1,APR,411,2013,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2013,Reset,364,1,1,0,,364,,364,0,Hybrid,1,APR,364,2013,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2013,Reset,0,1,1,0,,0,,0,0,Fully Electric,1,APR,0,2013,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2013,Reset,147,1,1,0,,147,,147,0,Fully Electric,1,APR,147,2013,4
NON TESLA,TOYOTA, RAV4 EV,TOYOTA RAV4 EV,4/1/2013,Reset,70,1,1,0,,70,,70,0,Hybrid,1,APR,70,2013,4
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,4/1/2013,Reset,127,1,1,0,,127,,127,0,Fully Electric,1,APR,127,2013,4
NON TESLA,SMART, ED,SMART ED,4/1/2013,Reset,0,1,1,0,,0,,0,0,Fully Electric,1,APR,0,2013,4
NON TESLA,HONDA, FIT EV,HONDA FIT EV,4/1/2013,Reset,22,1,1,0,,22,,22,0,Fully Electric,1,APR,22,2013,4
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,4/1/2013,Reset,0,1,1,0,,0,,0,0,Fully Electric,1,APR,0,2013,4
NON TESLA,HONDA, ACCORD PHV,HONDA ACCORD PHV,4/1/2013,Reset,55,1,1,0,,55,,55,0,Hybrid,1,APR,55,2013,4
NON TESLA,PORSCHE, PANAMERA S-E,PORSCHE PANAMERA S-E,4/1/2013,Reset,0,1,1,0,,0,,0,0,Hybrid,1,APR,0,2013,4
NON TESLA,CADILLAC, ELR,CADILLAC ELR,4/1/2013,Reset,0,1,1,0,,0,,0,0,Hybrid,1,APR,0,2013,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2014,Reset,2088,1,1,0,,2088,,2088,0,Fully Electric,1,APR,2088,2014,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2014,Reset,1548,1,1,0,,1548,,1548,0,Hybrid,1,APR,1548,2014,4
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2014,Reset,1100,1,1,0,1100,,100,1100,0,Fully Electric,1,APR,1100,2014,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2014,Reset,1741,1,1,0,,1741,,1741,0,Hybrid,1,APR,1741,2014,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2014,Reset,743,1,1,0,,743,,743,0,Hybrid,1,APR,743,2014,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2014,Reset,525,1,1,0,,525,,525,0,Hybrid,1,APR,525,2014,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2014,Reset,442,1,1,0,,442,,442,0,Fully Electric,1,APR,442,2014,4
NON TESLA,SMART, ED,SMART ED,4/1/2014,Reset,203,1,1,0,,203,,203,0,Fully Electric,1,APR,203,2014,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2014,Reset,116,1,1,0,,116,,116,0,Fully Electric,1,APR,116,2014,4
