id,CAR.MAKE,CAR.MAKE.AND.MODEL,CAR.MODEL,Car.Type1,Month,Sales,Sales.Non.Tesla,Sales.Tesla,Year,Year.Month,Year.Month..copy.
1,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,APR,493,493,,2011,4/1/2011,4
2,NISSAN,NISSAN LEAF, LEAF,Fully Electric,APR,573,573,,2011,4/1/2011,4
3,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,APR,1462,1462,,2012,4/1/2012,4
4,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,APR,1654,1654,,2012,4/1/2012,4
5,NISSAN,NISSAN LEAF, LEAF,Fully Electric,APR,370,370,,2012,4/1/2012,4
6,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,APR,79,79,,2012,4/1/2012,4
7,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,APR,1306,1306,,2013,4/1/2013,4
8,NISSAN,NISSAN LEAF, LEAF,Fully Electric,APR,1937,1937,,2013,4/1/2013,4
9,TESLA,TESLA MODEL S, MODEL S,Fully Electric,APR,2100,,2100,2013,4/1/2013,4
10,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,APR,599,599,,2013,4/1/2013,4
11,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,APR,411,411,,2013,4/1/2013,4
12,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,APR,364,364,,2013,4/1/2013,4
13,FIAT,FIAT 500E, 500E,Fully Electric,APR,0,0,,2013,4/1/2013,4
14,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,APR,147,147,,2013,4/1/2013,4
15,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,APR,70,70,,2013,4/1/2013,4
16,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,APR,127,127,,2013,4/1/2013,4
17,SMART,SMART ED, ED,Fully Electric,APR,0,0,,2013,4/1/2013,4
18,HONDA,HONDA FIT EV, FIT EV,Fully Electric,APR,22,22,,2013,4/1/2013,4
19,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,APR,0,0,,2013,4/1/2013,4
20,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,APR,55,55,,2013,4/1/2013,4
